row,base,category,template,arg,alt,pos,family,eps_mul,eps_abs,base_key,unordered_pair_key,template_key,category_key,base_side,unordered_pair_side,template_side,category_side
0,0,countries,t0,France,Canada,99,D4,0.01,0.603750,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
1,0,countries,t0,France,Canada,99,D4,0.05,3.018752,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
2,0,countries,t0,France,Canada,99,D4,0.2,12.075006,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
3,0,countries,t0,France,Canada,99,D4,1,60.375031,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
4,0,countries,t0,France,Canada,99,D4,-1,27.403975,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
5,0,countries,t0,France,China,99,D4,0.01,0.603750,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
6,0,countries,t0,France,China,99,D4,0.05,3.018752,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
7,0,countries,t0,France,China,99,D4,0.2,12.075006,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
8,0,countries,t0,France,China,99,D4,1,60.375031,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
9,0,countries,t0,France,China,99,D4,-1,25.823477,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
10,0,countries,t0,France,Egypt,99,D4,0.01,0.603750,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
11,0,countries,t0,France,Egypt,99,D4,0.05,3.018752,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
12,0,countries,t0,France,Egypt,99,D4,0.2,12.075006,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
13,0,countries,t0,France,Egypt,99,D4,1,60.375031,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
14,0,countries,t0,France,Egypt,99,D4,-1,30.045113,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
15,0,countries,t0,France,Japan,99,D4,0.01,0.603750,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
16,0,countries,t0,France,Japan,99,D4,0.05,3.018752,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
17,0,countries,t0,France,Japan,99,D4,0.2,12.075006,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
18,0,countries,t0,France,Japan,99,D4,1,60.375031,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
19,0,countries,t0,France,Japan,99,D4,-1,27.398184,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
20,0,countries,t0,France,Brazil,99,D4,0.01,0.603750,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
21,0,countries,t0,France,Brazil,99,D4,0.05,3.018752,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
22,0,countries,t0,France,Brazil,99,D4,0.2,12.075006,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
23,0,countries,t0,France,Brazil,99,D4,1,60.375031,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
24,0,countries,t0,France,Brazil,99,D4,-1,28.847755,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
25,0,countries,t0,France,0_0,99,D1,0.01,0.603750,0,countries/t0/0_0+France,countries/t0,countries,hold,hold,hold,cal
26,0,countries,t0,France,0_0,99,D1,0.05,3.018752,0,countries/t0/0_0+France,countries/t0,countries,hold,hold,hold,cal
27,0,countries,t0,France,0_0,99,D1,0.2,12.075006,0,countries/t0/0_0+France,countries/t0,countries,hold,hold,hold,cal
28,0,countries,t0,France,0_0,99,D1,1,60.375031,0,countries/t0/0_0+France,countries/t0,countries,hold,hold,hold,cal
29,0,countries,t0,France,0_1,99,D1,0.01,0.603750,0,countries/t0/0_1+France,countries/t0,countries,hold,hold,hold,cal
